op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,73.466,48.953521728515625,144.31,164.90832901000977,217.776,213.8618507385254
batchnorm,20.925,23.754167556762695,541.464,574.4174346923828,562.389,598.1716022491455
relu,4.832,6.6012749671936035,239.886,241.81789016723633,244.718,248.41916513442993
conv2d,89.306,74.46152877807617,95.64,110.41852188110352,184.946,184.8800506591797
cat,13.088,12.904909133911133,173.331,173.04737854003906,186.41899999999998,185.9522876739502
batchnorm,28.029,26.95926856994629,541.848,582.7308502197266,569.877,609.6901187896729
relu,5.344,6.112833499908447,222.927,240.1862030029297,228.271,246.29903650283813
conv2d,52.252,51.509647369384766,150.293,161.42850875854492,202.54500000000002,212.9381561279297
batchnorm,21.407,22.438020706176758,541.495,575.4898376464844,562.902,597.9278583526611
relu,4.96,5.449442386627197,236.238,245.7785301208496,241.198,251.2279725074768
conv2d,89.242,76.52415084838867,102.84,125.74353790283203,192.082,202.2676887512207
cat,14.559,13.106622695922852,163.251,177.56806564331055,177.81,190.6746883392334
batchnorm,32.797,31.46113157272339,540.217,573.9792175292969,573.014,605.4403491020203
relu,5.599,6.930735111236572,244.75,242.8900146484375,250.349,249.82074975967407
conv2d,90.201,64.79883289337158,128.855,145.39914321899414,219.05599999999998,210.19797611236572
batchnorm,21.342,20.676347732543945,540.152,567.1123504638672,561.494,587.7886981964111
relu,4.832,6.249277591705322,247.501,244.33661651611328,252.333,250.5858941078186
conv2d,88.602,79.00642013549805,247.245,120.95580291748047,335.847,199.96222305297852
cat,16.095,18.857690811157227,173.331,169.88563919067383,189.426,188.74333000183105
batchnorm,34.269,43.241329193115234,540.152,563.7021026611328,574.421,606.943431854248
relu,5.824,7.771707892417908,222.415,239.62988662719727,228.239,247.40159451961517
conv2d,64.923,66.78896903991699,139.702,140.34156799316406,204.625,207.13053703308105
batchnorm,21.502,22.187158584594727,542.552,569.6185913085938,564.054,591.8057498931885
relu,4.832,6.38292932510376,237.902,242.9591827392578,242.73399999999998,249.34211206436157
conv2d,88.761,85.87704849243164,109.496,122.09773635864258,198.257,207.97478485107422
cat,17.599,17.453989028930664,162.163,166.85089492797852,179.762,184.30488395690918
batchnorm,35.262,42.8331413269043,540.504,556.6865234375,575.7660000000001,599.5196647644043
relu,5.855,7.666544198989868,253.389,237.55926895141602,259.244,245.22581315040588
conv2d,75.292,71.62171268463135,167.058,137.9927520751953,242.35,209.61446475982666
batchnorm,21.535,23.572389602661133,545.335,570.8722229003906,566.87,594.4446125030518
relu,4.96,6.598536014556885,237.262,246.98455810546875,242.222,253.58309412002563
conv2d,89.337,79.77079010009766,114.616,129.55831718444824,203.953,209.3291072845459
cat,19.23,18.465402603149414,165.844,166.6195182800293,185.07399999999998,185.0849208831787
batchnorm,39.932,43.13491439819336,530.649,563.2672424316406,570.581,606.402156829834
relu,6.752,7.832857370376587,225.359,239.25383758544922,232.11100000000002,247.0866949558258
conv2d,77.338,75.27814865112305,127.959,130.28115844726562,205.297,205.55930709838867
batchnorm,21.31,21.208711624145508,697.804,566.4439697265625,719.1139999999999,587.652681350708
relu,4.896,6.316568851470947,241.678,244.71599578857422,246.57399999999998,251.03256464004517
conv2d,89.337,79.14288711547852,119.607,126.79377555847168,208.94400000000002,205.9366626739502
cat,20.67,21.831750869750977,159.861,167.12942123413086,180.531,188.96117210388184
batchnorm,41.468,49.97983169555664,554.839,554.977783203125,596.307,604.9576148986816
relu,7.04,8.590463638305664,263.852,238.9459457397461,270.892,247.53640937805176
conv2d,82.553,82.77093887329102,160.373,125.14054298400879,242.926,207.9114818572998
batchnorm,21.567,22.328203201293945,545.367,568.2070770263672,566.934,590.5352802276611
relu,4.863,6.293764591217041,242.734,243.267333984375,247.597,249.56109857559204
conv2d,88.857,83.56015014648438,121.304,130.19162559509277,210.161,213.75177574157715
cat,22.91,19.81644630432129,161.14,165.0113296508789,184.04999999999998,184.8277759552002
batchnorm,45.756,48.36628341674805,565.846,548.967529296875,611.602,597.333812713623
relu,6.944,8.677156567573547,225.423,236.14805603027344,232.367,244.82521259784698
conv2d,90.009,86.54902648925781,112.696,124.45976448059082,202.70499999999998,211.00879096984863
batchnorm,21.375,23.595918655395508,541.495,568.6691436767578,562.87,592.2650623321533
relu,4.896,6.471216678619385,243.981,247.10535430908203,248.87699999999998,253.57657098770142
conv2d,88.506,78.84756851196289,124.214,136.29186630249023,212.72,215.13943481445312
cat,24.351,21.250398635864258,165.459,164.5161895751953,189.81,185.76658821105957
batchnorm,47.869,50.67150115966797,685.421,554.7290802001953,733.2900000000001,605.4005813598633
relu,7.135,8.58665668964386,255.405,239.15885543823242,262.54,247.74551212787628
